scenerio,teamCode,firstSimulatedId,madePlayoffs,round2,round3,round4,wonCup,firstOverall,points,wonDivision,draftLottery,wildcard1Odds,wildcard2Odds,divisionPlace2Odds,divisionPlace3Odds,round1Winin4,round1Winin5,round1Winin6,round1Winin7,round1Lossin4,round1Lossin5,round1Lossin6,round1Lossin7,round2Winin4,round2Winin5,round2Winin6,round2Winin7,round2Lossin4,round2Lossin5,round2Lossin6,round2Lossin7,round3Winin4,round3Winin5,round3Winin6,round3Winin7,round3Lossin4,round3Lossin5,round3Lossin6,round3Lossin7,round4Winin4,round4Winin5,round4Winin6,round4Winin7,round4Lossin4,round4Lossin5,round4Lossin6,round4Lossin7
LOSSOT,NJD,2019020013,0.3433,0.172,0.085,0.041,0.021,0.009,86.9,0.061,0.047,0.051,0.055,0.082,0.094,0.021,0.042,0.05,0.058,0.024,0.046,0.052,0.049,0.009,0.021,0.026,0.029,0.012,0.022,0.028,0.024,0.006,0.008,0.012,0.014,0.005,0.009,0.015,0.015,0.002,0.004,0.007,0.007,0.002,0.004,0.007,0.007
WINOT,NJD,2019020013,0.3845,0.188,0.09,0.046,0.025,0.016,88.1,0.069,0.043,0.062,0.06,0.089,0.104,0.025,0.049,0.059,0.054,0.026,0.052,0.062,0.056,0.012,0.023,0.027,0.027,0.009,0.024,0.032,0.033,0.005,0.012,0.014,0.016,0.006,0.012,0.013,0.013,0.003,0.007,0.008,0.007,0.003,0.004,0.008,0.007
LOSSREG,NJD,2019020013,0.3258,0.165,0.079,0.039,0.019,0.009,85.8,0.055,0.052,0.05,0.059,0.075,0.087,0.021,0.041,0.054,0.049,0.022,0.042,0.048,0.049,0.01,0.018,0.025,0.026,0.011,0.023,0.024,0.027,0.004,0.01,0.011,0.013,0.005,0.01,0.012,0.013,0.002,0.005,0.006,0.005,0.003,0.005,0.006,0.006
ALL,BUF,2019020007,0.346,0.167,0.083,0.042,0.02,0.011,86.7,0.054,0.048,0.056,0.061,0.077,0.098,0.021,0.04,0.054,0.051,0.023,0.048,0.055,0.053,0.01,0.019,0.026,0.027,0.011,0.022,0.025,0.026,0.005,0.01,0.013,0.014,0.005,0.01,0.013,0.013,0.002,0.005,0.006,0.006,0.003,0.006,0.007,0.007
WINREG,BUF,2019020007,0.3839,0.183,0.091,0.044,0.021,0.014,88.0,0.063,0.043,0.062,0.065,0.087,0.107,0.023,0.044,0.061,0.055,0.026,0.054,0.065,0.056,0.012,0.021,0.029,0.029,0.012,0.024,0.027,0.029,0.005,0.012,0.013,0.014,0.007,0.012,0.014,0.014,0.002,0.006,0.006,0.007,0.003,0.006,0.007,0.007
LOSSOT,BUF,2019020007,0.3361,0.167,0.082,0.044,0.019,0.01,86.5,0.052,0.049,0.054,0.06,0.075,0.095,0.02,0.039,0.055,0.053,0.02,0.044,0.051,0.055,0.01,0.018,0.028,0.026,0.01,0.023,0.028,0.024,0.007,0.01,0.013,0.015,0.005,0.009,0.012,0.012,0.002,0.005,0.005,0.007,0.002,0.008,0.008,0.008
WINOT,BUF,2019020007,0.3721,0.181,0.087,0.043,0.02,0.012,87.6,0.062,0.044,0.06,0.065,0.077,0.108,0.022,0.039,0.063,0.057,0.025,0.048,0.059,0.059,0.013,0.021,0.023,0.03,0.013,0.025,0.027,0.029,0.004,0.011,0.013,0.015,0.005,0.012,0.013,0.014,0.003,0.007,0.005,0.006,0.002,0.006,0.008,0.007
LOSSREG,BUF,2019020007,0.3267,0.157,0.078,0.04,0.02,0.009,86.0,0.048,0.051,0.054,0.058,0.073,0.093,0.021,0.038,0.05,0.049,0.022,0.046,0.05,0.05,0.009,0.019,0.026,0.025,0.011,0.02,0.024,0.024,0.005,0.01,0.013,0.013,0.004,0.01,0.012,0.012,0.002,0.005,0.007,0.006,0.003,0.005,0.006,0.006
ALL,LAK,2019020029,0.3429,0.163,0.08,0.04,0.019,0.009,86.1,0.05,0.05,0.062,0.068,0.071,0.091,0.02,0.039,0.053,0.051,0.024,0.048,0.052,0.057,0.01,0.02,0.026,0.024,0.01,0.022,0.024,0.027,0.005,0.01,0.012,0.013,0.005,0.011,0.013,0.012,0.002,0.005,0.006,0.006,0.003,0.006,0.007,0.006
WINREG,LAK,2019020029,0.3792,0.183,0.087,0.041,0.021,0.012,87.3,0.058,0.045,0.067,0.071,0.079,0.104,0.021,0.047,0.059,0.057,0.026,0.054,0.056,0.061,0.012,0.022,0.029,0.024,0.011,0.025,0.029,0.03,0.005,0.011,0.012,0.013,0.006,0.013,0.013,0.014,0.002,0.005,0.006,0.007,0.003,0.006,0.006,0.006
LOSSOT,LAK,2019020029,0.3425,0.164,0.079,0.041,0.019,0.009,86.1,0.05,0.051,0.068,0.07,0.069,0.086,0.023,0.039,0.054,0.048,0.025,0.047,0.053,0.053,0.012,0.02,0.024,0.024,0.013,0.021,0.023,0.028,0.005,0.012,0.009,0.015,0.004,0.011,0.012,0.011,0.002,0.006,0.006,0.005,0.002,0.007,0.008,0.006
WINOT,LAK,2019020029,0.3672,0.174,0.088,0.044,0.02,0.011,87.1,0.058,0.046,0.065,0.07,0.076,0.099,0.023,0.039,0.054,0.058,0.022,0.048,0.057,0.066,0.01,0.023,0.025,0.031,0.011,0.024,0.025,0.026,0.005,0.011,0.013,0.015,0.006,0.011,0.015,0.013,0.002,0.005,0.007,0.005,0.003,0.005,0.008,0.007
LOSSREG,LAK,2019020029,0.316,0.148,0.073,0.038,0.019,0.007,85.2,0.044,0.054,0.058,0.065,0.066,0.083,0.019,0.034,0.049,0.046,0.023,0.044,0.047,0.054,0.008,0.019,0.025,0.022,0.009,0.019,0.021,0.026,0.004,0.01,0.011,0.012,0.005,0.009,0.012,0.01,0.002,0.004,0.006,0.006,0.003,0.005,0.006,0.005
ALL,OTT,2019020001,0.3255,0.157,0.079,0.039,0.02,0.011,85.9,0.049,0.052,0.053,0.059,0.073,0.092,0.021,0.038,0.049,0.05,0.022,0.043,0.052,0.051,0.01,0.02,0.025,0.025,0.009,0.02,0.024,0.024,0.005,0.009,0.012,0.013,0.005,0.01,0.012,0.012,0.003,0.005,0.006,0.006,0.003,0.005,0.006,0.006
WINREG,OTT,2019020001,0.3599,0.173,0.086,0.043,0.022,0.013,87.0,0.061,0.047,0.054,0.06,0.083,0.101,0.023,0.039,0.054,0.057,0.026,0.048,0.056,0.057,0.01,0.023,0.026,0.027,0.01,0.022,0.029,0.026,0.006,0.009,0.013,0.015,0.006,0.011,0.013,0.013,0.003,0.005,0.007,0.008,0.002,0.006,0.006,0.006
LOSSOT,OTT,2019020001,0.3391,0.16,0.083,0.035,0.017,0.012,86.5,0.052,0.049,0.059,0.064,0.072,0.093,0.021,0.04,0.046,0.053,0.022,0.046,0.058,0.054,0.01,0.022,0.029,0.023,0.011,0.019,0.02,0.026,0.005,0.009,0.011,0.011,0.007,0.012,0.014,0.016,0.002,0.005,0.006,0.004,0.002,0.006,0.005,0.005
WINOT,OTT,2019020001,0.361,0.167,0.085,0.043,0.022,0.013,87.2,0.057,0.046,0.059,0.064,0.082,0.099,0.02,0.041,0.055,0.051,0.024,0.049,0.059,0.062,0.011,0.023,0.023,0.028,0.012,0.02,0.025,0.025,0.004,0.012,0.013,0.014,0.007,0.011,0.013,0.011,0.004,0.005,0.006,0.007,0.002,0.006,0.007,0.006
LOSSREG,OTT,2019020001,0.3009,0.147,0.074,0.038,0.019,0.009,85.1,0.042,0.055,0.049,0.056,0.067,0.087,0.02,0.036,0.045,0.046,0.02,0.04,0.048,0.046,0.01,0.018,0.023,0.023,0.008,0.019,0.023,0.022,0.005,0.009,0.012,0.011,0.005,0.009,0.012,0.011,0.002,0.004,0.006,0.006,0.003,0.005,0.006,0.006
